Case	Value
Raw count of Met_C in CG:	310965285
Raw count of Non_Met_C in CG:	175835382
Raw count of Met_C in CHG:	9999917
Raw count of Non_Met_C in CHG:	2169093492
Raw count of Met_C in CHH:	28850122
Raw count of Non_Met_C in CHH:	6456371320
[CpG]	M: 19839813 Mh: 6631562 H: 4537279 hU: 3454247 U: 6414258
[mC]	M: 19923660 Mh: 6696473 H: 4779253 hU: 6137641 U: 742849684
Strand	+
mC/(C+T)	{162117316 / 4138295813} = 3.917490% 
mCG/(CG+TG)	{144649401 / 225322653} = 64.196564% 
mCHG/(CHG+THG)	{4621656 / 1013480860} = 0.456018% 
mCHH/(CHH+THH)	{12846259 / 2899492300} = 0.443052% 
Strand	-
mC/(C+T)	{160641004 / 4137412181} = 3.882644% 
mCG/(CG+TG)	{143186508 / 225702740} = 63.440306% 
mCHG/(CHG+THG)	{4641461 / 1013439017} = 0.457991% 
mCHH/(CHH+THH)	{12813035 / 2898270424} = 0.442092% 
Strand	+-
mC/(C+T)	{322758320 / 8275707994} = 3.900069% 
mCG/(CG+TG)	{287835909 / 451025393} = 63.818116% 
mCHG/(CHG+THG)	{9263117 / 2026919877} = 0.457005% 
mCHH/(CHH+THH)	{25659294 / 5797762724} = 0.442572% 
